callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 12:38:00 PM,Low,SW,CHECKWELLBEING,P151941369,2100 WINDSOR GARDENS LN,"(39.3107223,-76.6993441)"
07/13/2015 12:39:00 PM,Medium,NW,NARCOTICSOutside,P151941370,5300 CUTHBERT AV,"(39.3476591,-76.6823463)"
07/13/2015 12:40:00 PM,Low,WD,UNKNOWN TROUBLE,P151941371,2000-45 WINCHESTER ST,"(39.3018365,-76.6515506)"
07/13/2015 12:40:00 PM,Medium,CD,LYING IN STREET,P151941372,100 N HOWARD ST,"(39.2905830,-76.6197690)"
07/13/2015 12:42:00 PM,High,NE,SILENT ALARM,P151941373,5400 FRANKFORD ESTATES DR,"(39.3235040,-76.5402359)"
07/13/2015 12:43:00 PM,Non-Emergency,NW,LOST PROPERTY,P151941374,REISTERSTOWN RD/BROOKHILL RD,"(39.359683,-76.706872)"
07/13/2015 12:45:00 PM,Medium,SW,FAMILY DISTURB,P151941375,E NORTH AV/HARFORD AV,"(39.311929,-76.599356)"
07/13/2015 12:41:00 PM,Medium,SW,LARCENCY,P151941376,S LOUDON AV/FREDERICK AV,"(39.281764,-76.682125)"
07/13/2015 12:43:00 PM,Medium,NE,911/NO  VOICE,P151941378,3300 BELAIR RD,"(39.3221060,-76.5738460)"
07/13/2015 12:44:00 PM,Medium,NE,911/NO  VOICE,P151941379,5900 MORAVIA RD,"(39.3177890,-76.5453628)"
07/13/2015 12:43:00 PM,Low,SW,FALSE PRETENSE,P151941380,900 NOTTINGHAM RD,"(39.2967500,-76.7052600)"
07/13/2015 12:42:00 PM,Low,ND,CK WELL BEING,P151941381,1300 MORLING AV,"(39.3342880,-76.6380410)"
07/13/2015 12:47:00 PM,Medium,SD,911/NO  VOICE,P151941383,1100 RUSSELL ST,"(39.2792338,-76.6252434)"
07/13/2015 12:48:00 PM,Medium,NE,911/NO  VOICE,P151941385,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
07/13/2015 12:44:00 PM,Low,ND,OTHER,P151941386,N CALVERT ST/E 0TH ST,"(39.329218,-76.614966)"
07/13/2015 12:47:00 PM,Low,SE,INVOL DETENTION,P151941387,3200 EASTERN AV,"(39.2866780,-76.5713550)"
07/13/2015 12:46:00 PM,Low,ND,FALSE PRETENSE,P151941388,2500 OAKLEY AV,"(39.3492970,-76.6599390)"
07/13/2015 12:48:00 PM,Medium,SD,SUSPICIOUS PERS,P151941390,1200 CARROLL ST,"(39.2809346,-76.6331825)"
07/13/2015 12:48:00 PM,Medium,SD,DISORDERLY,P151941391,1700 RUSSELL ST,"(39.2734654,-76.6287554)"
07/13/2015 12:51:00 PM,Medium,SW,MISSING PERSON,P151941392,3500 EDMONDSON AV,"(39.2943489,-76.6758430)"
07/13/2015 12:49:00 PM,Medium,SW,FAMILY DISTURB,P151941393,0 S BEECHFIELD AV,"(39.2835597,-76.6932772)"
07/13/2015 12:49:00 PM,Medium,WD,NARCOTICSOutside,P151941394,W BALTIMORE ST/S CARROLLTON AV,"(39.288622,-76.636736)"
07/13/2015 12:50:00 PM,Non-Emergency,NW,Repo,P151941395,4500 WENTWORTH RD,"(39.3264230,-76.6951540)"
07/13/2015 12:51:00 PM,High,SE,SILENT ALARM,P151941396,100 S COLLINGTON AV,"(39.2906773,-76.5861806)"
07/13/2015 12:51:00 PM,Medium,CD,911/NO  VOICE,P151941397,1100 DRUID HILL AV,"(39.3003914,-76.6265826)"
07/13/2015 12:47:00 PM,Low,TRU,LARCENY F/AUTO,P151941398,300 W LORRAINE AV,"(39.3199496,-76.6206203)"
07/13/2015 12:52:00 PM,Medium,NE,911/NO  VOICE,P151941399,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
07/13/2015 12:50:00 PM,Low,NW,HIT AND RUN,P151941400,3000 FALLSTAFF RD,"(39.3693670,-76.6915461)"
