callDateTime,priority,district,description,callNumber,incidentLocation,location
07/14/2015 04:02:00 PM,Medium,SD,SUSPICIOUS PERS,P151952005,2500 WESTPORT ST,"(39.2606590,-76.6373803)"
07/14/2015 03:51:00 PM,Medium,SE,AUTO THEFT,P151952006,3200 E FAIRMOUNT AV,"(39.2937110,-76.5720350)"
07/14/2015 04:04:00 PM,Non-Emergency,SW,SEARCH&SEIZURE,P151952007,400 FONTHILL AV,"(39.2791793,-76.6633841)"
07/14/2015 04:03:00 PM,Medium,WD,911/NO  VOICE,P151952008,2500 PENNSYLVANIA AV,"(39.3104900,-76.6435070)"
07/14/2015 04:04:00 PM,Non-Emergency,ND,Repairs/Service,P151952009,100,"(39.3810499,-76.6572571)"
07/14/2015 04:04:00 PM,Medium,NW,911/NO  VOICE,P151952011,3000 DRUID PARK DR,"(39.3238608,-76.6610767)"
07/14/2015 04:01:00 PM,Medium,CD,DISORDERLY,P151952013,900 N CHARLES ST,"(39.2997644,-76.6159995)"
07/14/2015 04:01:00 PM,Low,NE,AUTO ACCIDENT,P151952014,5600 LOCH RAVEN BL,"(39.3578590,-76.5902710)"
07/14/2015 04:02:00 PM,Medium,NE,COMMON ASSAULT,P151952015,3200 BAYONNE AV,"(39.3522236,-76.5563238)"
07/14/2015 04:04:00 PM,Low,CD,INTOXICATED PERS,P151952018,200 W FAYETTE ST,"(39.2906959,-76.6181290)"
07/14/2015 04:05:00 PM,Medium,WD,DISORDERLY,P151952019,W NORTH AV/PENNSYLVANIA AV,"(39.310059,-76.642509)"
07/14/2015 04:02:00 PM,High,NE,AGGRAV ASSAULT,P151952020,BAYONNE AV/SEFTON AV,"(39.351039,-76.554756)"
07/14/2015 04:06:00 PM,Medium,SD,911/NO  VOICE,P151952021,4300 WEST BAY AV,"(39.2261328,-76.5943905)"
07/14/2015 04:08:00 PM,Medium,ND,COMMON ASSAULT,P151952023,2700 N CALVERT ST,"(39.3208510,-76.6147390)"
07/14/2015 04:00:00 PM,Low,NE,AUTO ACCIDENT,P151952024,PERRING PY/ECHODALE AV,"(39.354878,-76.575525)"
07/14/2015 04:08:00 PM,Medium,NE,911/NO  VOICE,P151952025,3200 CLIFTMONT AV,"(39.3191690,-76.5737879)"
07/14/2015 04:09:00 PM,Non-Emergency,ND,Foot  Patrol,P151952026,GREENMOUNT AV/VENABLE AV,"(39.329253,-76.609441)"
07/14/2015 04:10:00 PM,High,WD,Traffic Stop,P151952027,MOSHER ST/N FULTON AV,"(39.299868,-76.645904)"
07/14/2015 04:08:00 PM,Low,TRU,LARCENY F/AUTO,P151952028,E CENTRE ST/N CALVERT ST,"(39.296449,-76.612806)"
07/14/2015 04:08:00 PM,Low,ND,LARCENCY,P151952029,3500 GREENMOUNT AV,"(39.3310222,-76.6094630)"
07/14/2015 04:08:00 PM,Medium,NE,UNFOUNDED,P151952031,1600 E 32ND ST,"(39.3269869,-76.5937873)"
07/14/2015 04:10:00 PM,Medium,SW,911/NO  VOICE,P151952032,4600 FREDERICK AV,"(39.2814825,-76.6924178)"
07/14/2015 04:11:00 PM,Medium,WD,NARCOTICSOutside,P151952033,2200 BLK W LANVALE ST,"(39.3100265,-76.5869858)"
07/14/2015 04:10:00 PM,Medium,SW,FAMILY DISTURB,P151952034,700 LINNARD ST,"(39.2953888,-76.6768164)"
